"Node","State"
"YAL005C","1"
"YAL012W","0"
"YAL018C","0"
"YAL021C","1"
"YAL023C","1"
"YAL038W","1"
"YAL040C","1"
"YAL044C","1"
"YAL048C","1"
"YAL051W","1"
"YAL054C","0"
"YAL060W","1"
"YAL061W","0"
"YAL064W","0"
"YAL068C","1"
"YAR009C","0"
"YAR010C","1"
"YAR015W","1"
"YAR018C","0"
"YAR028W","0"
"YAR050W","0"
"YAR071W","0"
"YBL002W","1"
"YBL003C","1"
"YBL005W","1"
"YBL007C","1"
"YBL009W","0"
"YBL013W_ExtraCopy_1","1"
"YBL013W","1"
"YBL016W","1"
"YBL021C_ExtraCopy_1","1"
"YBL021C","1"
"YBL022C_ExtraCopy_1","1"
"YBL022C","1"
"YBL027W","1"
"YBL029W","1"
"YBL030C","1"
"YBL031W","1"
"YBL038W","1"
"YBL041W_ExtraCopy_1","1"
"YBL041W","1"
"YBL045C_ExtraCopy_1","1"
"YBL045C","1"
"YBL051C","1"
"YBL058W_ExtraCopy_1","1"
"YBL058W","1"
"YBL060W","0"
"YBL066C_ExtraCopy_1","1"
"YBL066C","1"
"YBL072C","1"
"YBL074C_ExtraCopy_1","1"
"YBL074C","1"
"YBL075C_ExtraCopy_1","1"
"YBL075C","1"
"YBL076C_ExtraCopy_1","1"
"YBL076C","1"
"YBL082C","1"
"YBL087C","1"
"YBL090W","1"
"YBL092W","1"
"YBL097W_ExtraCopy_1","1"
"YBL097W","1"
"YBL099W","1"
"YBL102W","1"
"YBL103C","1"
"YBR009C","1"
"YBR010W","1"
"YBR018C","1"
"YBR019C","0"
"YBR020W_ExtraCopy_1","0"
"YBR020W","0"
"YBR029C","1"
"YBR031W","1"
"YBR035C","1"
"YBR038W_ExtraCopy_1","0"
"YBR038W","0"
"YBR039W","1"
"YBR040W","0"
"YBR043C_ExtraCopy_1","1"
"YBR043C_ExtraCopy_2","1"
"YBR043C","1"
"YBR044C_ExtraCopy_1","1"
"YBR044C_ExtraCopy_2","1"
"YBR044C","1"
"YBR046C_ExtraCopy_1","1"
"YBR046C","1"
"YBR047W_ExtraCopy_1","1"
"YBR047W","1"
"YBR054W","0"
"YBR056W","1"
"YBR067C_ExtraCopy_1","1"
"YBR067C","1"
"YBR068C","1"
"YBR069C","1"
"YBR072W","0"
"YBR076W_ExtraCopy_1","0"
"YBR076W","0"
"YBR078W","1"
"YBR082C_ExtraCopy_1","1"
"YBR082C","1"
"YBR083W_ExtraCopy_1","1"
"YBR083W","1"
"YBR084W_ExtraCopy_1","1"
"YBR084W","1"
"YBR085W","0"
"YBR088C_ExtraCopy_1","0"
"YBR088C","0"
"YBR093C","0"
"YBR101C","1"
"YBR112C","1"
"YBR117C","0"
"YBR121C_ExtraCopy_1","1"
"YBR121C","1"
"YBR126C","1"
"YBR127C_ExtraCopy_1","1"
"YBR127C","1"
"YBR145W_ExtraCopy_1","1"
"YBR145W","1"
"YBR146W_ExtraCopy_1","1"
