Target,Source,Weight
YDR276C,YLR403W,-1
YDR276C,YGL073W,-1
YDR276C,YDL056W,-1
YDR276C,YLR131C,-1
YPL177C,YLR131C,-1
YPL177C,YOL108C,-1
YPL177C,YNL216W,-1
YGR260W,YGL073W,-1
YNR017W,YLR223C,-1
YJL159W,YIL131C,-1
YJL159W,YDL056W,-1
YJL159W,YER111C,-1
YGL198W,YLR403W,-1
YBR071W,YER111C,-1
YMR092C,YKL112W,-1
YGR155W,YHR084W,-1
YGR155W,YER111C,-1
YNL135C,YEL009C,-1
YNL135C,YNL216W,-1
YJL167W,YBR083W,-1
YBR126C_ExtraCopy_1,YLR403W,-1
YBR126C_ExtraCopy_1,YNL216W,-1
YMR195W,YGL073W,-1
YMR195W,YNL216W,-1
YMR195W,YHR178W,-1
YMR195W,YKL112W,-1
YMR195W,YJL056C,-1
YMR195W,YDL020C,-1
YMR195W,YMR172W,-1
YMR195W,YKL109W,-1
YDR011W,YJR060W,-1
YMR181C,YKL112W,-1
YMR181C,YLR223C,-1
YGL008C,YNL027W,-1
YGL008C,YDL020C,-1
YGL008C,YDL056W,-1
YGL008C,YDR146C,-1
YGL008C,YEL009C,-1
YGL008C,YKL185W,-1
YGR180C,YER111C,-1
YOL058W,YJR060W,-1
YOL058W,YNL216W,-1
YLR174W,YOR363C,-1
YLR174W,YJL089W,-1
YKR081C,YKL109W,-1
YKR081C,YNL027W,-1
YKR081C,YIL131C,-1
YOR120W,YNL216W,-1
YNL312W,YMR037C,-1
YNL312W,YKR034W,-1
YBR249C,YGL073W,-1
YKL103C,YHR124W,-1
YKL103C,YLR403W,-1
YDL063C,YDL020C,-1
YIL018W,YGL073W,-1
YLL026W,YML099C,-1
YLL026W,YNL216W,-1
YLL026W,YEL009C,-1
YLL026W,YDR174W,-1
YLR190W,YLR131C,-1
YLR190W,YDR146C,-1
YLR190W,YDL056W,-1
YDL208W,YKL109W,-1
YCR061W,YKL112W,-1
YDL127W,YLR131C,-1
YOL082W,YKL062W,-1
YOR016C,YLR131C,-1
YBR078W,YDR146C,-1
YBR078W,YLR131C,-1
YBR078W,YEL009C,-1
YBR078W,YKL062W,-1
YGR108W,YDR146C,-1
YGR108W,YLR223C,-1
YGR108W,YKL062W,-1
YGR108W,YMR037C,-1
YGR108W,YDL056W,-1
YGR108W,YLR131C,-1
YGL062W,YKL112W,-1
YGL062W,YNL216W,-1
YGL062W,YJR060W,-1
YGL062W,YMR280C,-1
YGL062W,YPL075W,-1
YOR095C,YMR172W,-1
YOR095C,YMR037C,-1
YOR095C,YJR060W,-1
YDR043C,YGL073W,-1
YAR002W,YKL109W,-1
YKL109W,YMR172W,-1
YKL109W,YNL167C,-1
YKL109W,YDR146C,-1
YKL109W,YLR131C,-1
YER065C,YDR216W,-1
YBL028C,YGL073W,-1
YEL044W,YJL056C,-1
YEL044W,YNL216W,-1
YEL044W,YIL131C,-1
YDL182W,YGL073W,-1
YDL182W,YKL109W,-1
YDL182W,YER040W,-1
YDL182W,YER111C,-1
YDL182W,YNL216W,-1
YPL154C,YLR223C,-1
YPL154C,YGL073W,-1
YPL154C,YLR403W,-1
YKR011C,YEL009C,-1
YIL123W,YLR403W,-1
YIL123W,YLR131C,-1
YIL123W,YDR146C,-1
YIL123W,YJR060W,-1
YIL123W,YDL020C,-1
YGR204W,YKL109W,-1
YIR038C,YKL062W,-1
YIR038C,YGL073W,-1
YIR038C,YLR403W,-1
YIR038C,YBR049C,-1
YIR038C,YMR043W,-1
YIL106W,YDL056W,-1
YIL106W,YER111C,-1
YBR177C,YKL062W,-1
YBR177C,YER040W,-1
YLR225C,YNL216W,-1
YMR058W,YDR146C,-1
YMR058W,YDL056W,-1
YMR058W,YMR172W,-1
YMR058W,YGL073W,-1
YMR058W,YEL009C,-1
YLR104W,YER111C,-1
YBR121C,YLR223C,-1
YDL121C,YPL075W,-1
YKR080W,YBR049C,-1
YDR342C,YLR223C,-1
YDR342C,YLR403W,-1
YDR342C,YJR060W,-1
YDR342C,YMR280C,-1
YDR342C,YEL009C,-1
YDR342C,YNL216W,-1
YFR030W,YER111C,-1
YFR030W,YKL109W,-1
YOR007C,YKL062W,-1
YBR039W,YBL021C_ExtraCopy_1,-1
YBR039W,YBL021C_ExtraCopy_2,-1
YBR039W,YKL062W,-1
YBR039W,YBL021C,-1
YBR039W,YGL237C,-1
YNL255C,YER111C,-1
