	1
YBL113W-A	1
YBL112C	1
YBL111C	1
YBL109W	1
YBL108C-A	2
YBL108W	2
YBL107W-A	2
YBL107C	2
YBL106C	1
YBL105C	1
YBL104C	2
YBL103C	2
YBL102W	2
YBL101C	0
YBL100W-C	2
YBL100C	4
YBL099W	1
YBL098W	1
YBL097W	2
YBL096C	1
YBL095W	1
YBL094C	1
YBL093C	0
YBL092W	1
YBL091C-A	1
YBL091C	2
YBL090W	1
YBL089W	1
YBL088C	1
YBL087C	2
YBL086C	2
YBL085W	2
YBL084C	1
YBL083C	1
YBL082C	1
YBL081W	1
YBL080C	1
YBL079W	2
YBL078C	4
YBL077W	2
YBL076C	3
YBL075C	2
YBL074C	1
YBL073W	1
YBL072C	1
YBL071C-B	1
YBL071W-A	0
YBL071C	1
YBL070C	2
YBL069W	2
YBL068W-A	2
YBL068W	2
YBL067C	1
YBL066C	2
YBL065W	2
YBL064C	1
YBL063W	1
YBL062W	1
YBL061C	1
YBL060W	1
YBL059C-A	2
YBL059W	2
YBL058W	3
YBL057C	2
YBL056W	3
YBL055C	2
YBL054W	1
YBL053W	1
YBL052C	1
YBL051C	1
YBL050W	1
YBL049W	1
YBL048W	1
YBL047C	3
YBL046W	2
YBL045C	2
YBL044W	2
YBL043W	2
YBL042C	3
YBL041W	2
YBL040C	1
YBL039W-B	1
YBL039C	1
YBL039C-A	3
YBL038W	2
YBL037W	1
YBL036C	2
YBL035C	1
YBL034C	1
YBL033C	2
YBL032W	2
YBL031W	1
YBL030C	1
YBL029C-A	1
YBL029W	1
YBL028C	1
YBL027W	1
YBL026W	1
YBL025W	1
YBL024W	2
YBL023C	2
YBL022C	2
YBL021C	3
YBL020W	2
YBL019W	1
YBL018C	1
YBL017C	1
YBL016W	1
YBL015W	1
YBL014C	1
YBL013W	2
YBL012C	2
YBL011W	1
YBL010C	1
YBL009W	1
YBL008W-A	0
YBL008W	2
YBL007C	1
YBL006C	1
YBL006W-A	1
YBL005W	1
YBL004W	1
YBL003C	1
YBL002W	1
YBL001C	1
YBR001C	1
YBR002C	1
YBR003W	1
YBR004C	1
YBR005W	3
YBR006W	3
YBR007C	3
YBR008C	2
YBR009C	2
YBR010W	1
YBR011C	1
YBR012C	1
YBR013C	1
YBR014C	1
YBR015C	1
YBR016W	1
YBR017C	1
YBR018C	1
YBR019C	1
YBR020W	1
YBR021W	0
YBR022W	0
YBR023C	0
YBR024W	0
YBR025C	0
YBR026C	0
YBR027C	0
YBR028C	1
YBR029C	1
YBR030W	1
YBR031W	1
YBR032W	1
YBR033W	1
YBR034C	1
YBR035C	1
YBR036C	1
YBR037C	1
YBR038W	4
YBR039W	2
YBR040W	1
YBR041W	2
YBR042C	3
YBR043C	3
YBR044C	3
YBR045C	2
YBR046C	2
YBR047W	2
YBR048W	0
YBR049C	1
YBR050C	1
YBR051W	2
YBR052C	2
YBR053C	1
YBR054W	2
YBR055C	2
YBR056W	1
YBR056W-A	1
YBR056C-B	1
YBR057C	2
YBR058C	2
YBR058C-A	2
YBR059C	1
YBR060C	2
YBR061C	1
YBR062C	0
YBR063C	1
YBR064W	2
YBR065C	3
YBR066C	3
YBR067C	3
YBR068C	1
YBR069C	1
YBR070C	1
YBR071W	1
YBR072W	1
YBR072C-A	2
YBR073W	2
YBR074W	2
YBR076W	2
YBR076C-A	1
YBR077C	1
YBR078W	1
YBR079C	1
YBR080C	1
YBR081C	2
YBR082C	1
YBR083W	1
YBR084W	1
YBR084C-A	1
YBR085W	1
YBR085C-A	1
YBR086C	1
YBR087W	1
YBR088C	2
YBR089W	2
YBR089C-A	2
YBR090C	1
YBR091C	1
YBR092C	1
YBR093C	1
YBR094W	3
YBR095C	2
YBR096W	2
YBR097W	2
YBR098W	1
YBR099C	1
YBR101C	1
YBR102C	1
YBR103W	1
YBR103C-A	1
YBR104W	0
YBR105C	0
YBR106W	1
YBR107C	2
YBR108W	1
YBR109C	1
YBR109W-A	1
YBR110W	1
YBR111C	1
YBR111W-A	1
YBR112C	2
YBR113W	2
YBR114W	2
YBR115C	2
YBR116C	1
YBR117C	1
YBR118W	1
YBR119W	2
YBR120C	1
YBR121C	1
YBR121C-A	2
YBR122C	1
YBR123C	1
YBR124W	2
YBR125C	2
YBR126C	2
YBR126W-A	1
YBR126W-B	2
YBR127C	2
YBR128C	2
YBR129C	1
YBR130C	1
YBR131W	1
YBR131C-A	1
YBR132C	0
YBR133C	1
YBR134W	1
YBR135W	1
YBR136W	1
YBR137W	1
YBR138C	1
YBR139W	1
YBR140C	1
YBR141C	2
YBR141W-A	2
YBR142W	2
YBR143C	2
YBR144C	1
YBR145W	1
YBR146W	2
YBR147W	2
YBR148W	1
YBR149W	1
YBR150C	1
YBR151W	1
YBR152W	1
YBR153W	2
YBR154C	1
YBR155W	1
YBR156C	1
YBR157C	1
YBR158W	3
YBR159W	3
YBR160W	1
YBR161W	1
YBR162C	1
YBR162W-A	1
YBR163W	2
YBR164C	2
YBR165W	1
YBR166C	3
YBR167C	1
YBR168W	2
YBR169C	2
YBR170C	1
YBR171W	2
YBR172C	2
YBR173C	2
YBR174C	1
YBR175W	1
YBR176W	1
YBR177C	1
YBR178W	1
YBR179C	1
YBR180W	1
YBR181C	2
YBR182C	2
YBR182C-A	2
YBR183W	1
YBR184W	2
YBR185C	2
YBR186W	2
YBR187W	3
YBR188C	2
YBR189W	2
YBR190W	2
YBR191W	2
YBR191W-A	2
YBR192W	2
YBR193C	2
YBR194W	2
YBR195C	2
YBR196C	2
YBR196C-A	1
YBR196C-B	1
YBR197C	0
YBR198C	1
YBR199W	2
YBR200W	2
YBR200W-A	1
YBR201W	1
YBR201C-A	1
YBR202W	1
YBR203W	1
YBR204C	2
YBR205W	2
YBR206W	2
YBR207W	2
YBR208C	2
YBR209W	1
YBR210W	2
YBR211C	1
YBR212W	0
YBR213W	0
YBR214W	0
YBR215W	0
YBR216C	1
YBR217W	0
YBR218C	0
YBR219C	1
YBR220C	1
YBR221C	1
YBR221W-A	1
YBR222C	2
YBR223C	1
YBR223W-A	1
YBR224W	1
YBR225W	1
YBR226C	0
YBR227C	0
YBR228W	0
YBR229C	0
YBR230C	0
