	0
Q0050_fc	1
YAL003W_fc	1
YAL003W_fc_intermediate_1	1
YAL005C_fc	1
YAL005C_fc_intermediate_1	1
YAL007C_fc	1
YAL008W_fc	1
YAL012W_fc	1
YAL012W_fc_intermediate_1	1
YAL012W_fc_intermediate_2	1
YAL013W_fc	1
YAL014C_fc	1
YAL016W_fc	1
YAL022C_fc	1
YAL023C_fc	1
YAL023C_fc_intermediate_1	1
YAL025C_fc	1
YAL030W_fc	1
YAL033W_fc	1
YAL034C_fc	1
YAL035W_fc	1
YAL036C_fc	1
YAL036C_fc_intermediate_1	1
YAL038W_fc	1
YAL038W_fc_intermediate_1	1
YAL038W_fc_intermediate_2	1
YAL039C_fc	1
YAL039C_fc_intermediate_1	1
YAL040C_fc	1
YAL041W_fc	1
YAL042W_fc	1
YAL044C_fc	1
YAL044C_fc_intermediate_1	1
YAL044C_fc_intermediate_2	1
YAL049C_fc	1
YAL051W_fc	1
YAL053W_fc	1
YAL054C_fc	1
YAL059W_fc	1
YAL060W_fc	1
YAL060W_fc_intermediate_1	1
YAL060W_fc_intermediate_2	1
YAL061W_fc	1
YAL061W_fc_intermediate_1	1
YAL062W_fc	1
YAR002W_fc	1
YAR003W_fc	1
YAR007C_fc	1
YAR008W_fc	1
YAR015W_fc	1
YAR015W_fc_intermediate_1	1
YAR015W_fc_intermediate_2	1
YAR018C_fc	1
YAR027W_fc	1
YAR027W_fc_intermediate_1	1
YAR031W_fc	1
YBL001C_fc	1
YBL002W_fc	1
YBL002W_fc_intermediate_1	1
YBL003C_fc	1
YBL003C_fc_intermediate_1	1
YBL005W_fc	1
YBL007C_fc	1
YBL011W_fc	1
YBL015W_fc	1
YBL015W_fc_intermediate_1	1
YBL017C_fc	1
YBL018C_fc	1
YBL021C_fc	1
YBL022C_fc	1
YBL024W_fc	1
YBL026W_fc	1
YBL027W_fc	1
YBL028C_fc	1
YBL030C_fc	1
YBL032W_fc	1
YBL033C_fc	1
YBL036C_fc	1
YBL038W_fc	1
YBL039C_fc	1
YBL040C_fc	1
YBL041W_fc	1
YBL042C_fc	1
YBL042C_fc_andNotIntermediate	1
YBL042C_fc_intermediate_1	1
YBL042C_fc_intermediate_2	1
YBL042C_fc_intermediate_3	1
YBL045C_fc	1
YBL051C_fc	1
YBL056W_fc	1
YBL057C_fc	1
YBL064C_fc	1
YBL064C_fc_intermediate_1	1
YBL064C_fc_intermediate_2	1
YBL068W_fc	1
YBL072C_fc	1
YBL076C_fc	1
YBL076C_fc_intermediate_1	1
YBL078C_fc	1
YBL087C_fc	1
YBL091C_fc	1
YBL092W_fc	1
