	target	Source	Weight
276011	YPR199C	YPR196W	1
158002	YKL063C	YPR186C	1
271060	YPR045C	YPR186C	1
34251	YDL014W	YPR104C	1
89097	YGL030W	YPR104C	-1
183939	YLR291C	YPR104C	1
59594	YDR378C	YPR094W	1
127706	YHR191C	YPR094W	1
3757	YAR028W	YPR065W	-1
17617	YBR085W	YPR065W	-1
47515	YDR044W	YPR065W	-1
68305	YEL039C	YPR065W	1
120973	YHR048W	YPR065W	-1
149881	YJR047C	YPR065W	-1
156415	YKL008C	YPR065W	-1
213439	YMR319C	YPR065W	-1
229873	YNR044W	YPR065W	1
32664	YCR104W	YPR015C	1
69689	YEL060C	YPL202C	1
180569	YLR192C	YPL202C	1
168688	YKR093W	YPL177C	-1
12267	YBR023C	YPL089C	-1
49095	YDR078C	YPL089C	1
108495	YGR189C	YPL089C	-1
158787	YKL096W	YPL089C	-1
159183	YKL104C	YPL089C	-1
161559	YKL161C	YPL089C	-1
258578	YPL016W	YPL082C	1
1177	YAL038W	YPL075W	1
2959	YAR009C	YPL075W	-1
29095	YCR012W	YPL075W	1
47905	YDR050C	YPL075W	1
55033	YDR261W-B	YPL075W	-1
61369	YDR418W	YPL075W	1
123145	YHR092C	YPL075W	1
161161	YKL152C	YPL075W	1
174229	YLR044C	YPL075W	1
235213	YOL086C	YPL075W	1
30876	YCR052W	YPL049C	1
65525	YDR502C	YPL038W	-1
116213	YHL036W	YPL038W	-1
143537	YJL101C	YPL038W	-1
148685	YJL212C	YPL038W	-1
172049	YLL062C	YPL038W	-1
143140	YJL092W	YOR372C	1
150069	YJR048W	YOR358W	1
180957	YLR205C	YOR358W	1
271641	YPR065W	YOR358W	1
112250	YGR254W	YOR344C	1
141158	YJL052W	YOR344C	1
177391	YLR107W	YOR338W	1
51858	YDR176W	YOR304W	1
136601	YIR006C	YOR290C	1
164123	YKL198C	YOR290C	1
186497	YLR337C	YOR290C	1
136402	YIR005W	YOR258W	1
139173	YJL026W	YOR230W	1
45122	YDR011W	YOR162C	1
8293	YBL066C	YOR140W	1
41160	YDL160C	YOR113W	1
6311	YBL029W	YOR032C	1
